Element,  Total(W), Total(var),  I2R(W), I2X(var), No-load(W), No-load(var)
Transformer.SUB, 3399.226, 67989.06, 3399.226, 67989.06, 0, 0
Transformer.XFM1, 386.1197, 1931.573, 386.1197, 1931.573, 0, 0
Transformer.XFM2, 1192.643, 5964.183, 1192.643, 5964.183, 0, 0
Transformer.XFM3, 522.9598, 2615.773, 522.9598, 2615.773, 0, 0
Transformer.XFM4, 519.9979, 2600.963, 519.9979, 2600.963, 0, 0
Transformer.XFM5, 522.0995, 2611.472, 522.0995, 2611.472, 0, 0
Line.650632, 2744.539, 8648.292, 2744.539, 8648.292, 0, 0
Line.632671, 1253.611, 3983.778, 1253.611, 3983.778, 0, 0
Line.671680, 83.04586, 243.8728, 83.04586, 243.8728, 0, 0
Line.632633, 45.0813, 46.70646, 45.0813, 46.70646, 0, 0
Line.632645, 157.3894, 212.0845, 157.3894, 212.0845, 0, 0
Line.671684, 81.97497, 108.3553, 81.97497, 108.3553, 0, 0
Line.671692, 239.7706, -880.3328, 239.7706, -880.3328, 0, 0
Capacitor.CAP1, 0, -586366.9, 0, -586366.9, 0, 0
Capacitor.CAP2, 0, -98864.26, 0, -98864.26, 0, 0
