Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 132, 1,    76210.2,   30.0,         1, 2,    76210.2,  -90.0,         1, 3,    76210.2,  150.0,         1
"650", 11, 1,    6272.88,   -1.9,   0.98772, 2,    6291.83, -121.6,   0.99071, 3,    6321.27,  118.4,   0.99534
"633", 11, 1,    6249.09,   -2.1,   0.98398, 2,    6282.88, -121.9,    0.9893, 3,    6311.18,  118.2,   0.99375
"634", 0.4, 1,      226.4,   -2.4,   0.98034, 2,    227.429, -122.2,    0.9848, 3,    228.743,  117.9,   0.99048
"692", 11, 1,    6237.91,   -2.3,   0.98222, 2,    6285.28, -122.0,   0.98967, 3,    6295.06,  118.0,   0.99122
"675", 0.4, 1,    225.296,   -2.8,   0.97556, 2,    226.889, -122.5,   0.98246, 3,    227.449,  117.5,   0.98488
"684", 11, 1,    6239.41,   -2.3,   0.98245, 2,    6288.74, -122.0,   0.99022, 3,    6295.07,  118.0,   0.99122
"652", 0.4, 1,     225.09,   -2.9,   0.97467, 2,    228.681, -122.0,   0.99022, 3,    228.912,  118.0,   0.99122
"611", 0.4, 1,    226.887,   -2.3,   0.98245, 2,    228.681, -122.0,   0.99022, 3,    227.114,  117.4,   0.98343
"645", 11, 1,    6246.89,   -2.1,   0.98363, 2,    6280.88, -121.9,   0.98898, 3,    6313.84,  118.2,   0.99417
"646", 0.4, 1,    226.146,   -2.5,   0.97924, 2,    226.928, -122.4,   0.98263, 3,    229.594,  118.2,   0.99417
"632", 11, 1,    6250.35,   -2.1,   0.98417, 2,    6284.54, -121.9,   0.98956, 3,    6312.26,  118.2,   0.99392
"671", 11, 1,     6240.7,   -2.3,   0.98266, 2,    6288.09, -122.0,   0.99012, 3,    6297.59,  118.0,   0.99161
"680", 11, 1,    6243.14,   -2.3,   0.98304, 2,    6291.27, -122.0,   0.99062, 3,     6300.3,  118.0,   0.99204
